Player_id,Ratings,Reviews
86553,0,"This game can offer hopelessly nothing. Boring\, standard\, featureless and idea-free game play that what it is about.It is PS4 exclusive from Sony to demonstrate HD textures\, that's it."
94612,7,"Para mi todos los Killzone son iguales\, eso no tiene porque ser necesariamente malo\, me entretienen pero no me entusiasman."
94613,5,"This game is just like halo. But without story\, without good controls\, without warthogs. Just a blank sci-fi FPS. All you can do is enjoy the graphics which are really nice\, but that's it."
94614,5,"This game is just like halo. But without story\, without good controls\, without warthogs. Just a blank sci-fi FPS. All you can do is enjoy the graphics which are really nice\, but that's it."
94615,5,Killzonde: Shadow Fall its a beautiful game and the shows the power of PS4  but gameplay its not that good. Story its repetitive and Multiplayer its not get me
90743,7,"Fun gameplay\, great shooting mechanics\, story is pretty good too. Graphics are pretty good. Multiplayer is very fun as well."
90855,7,"Fun gameplay\, great shooting mechanics\, story is pretty good too. Graphics are pretty good. Multiplayer is very fun as well."
90884,8,"This is my first Killzone game.I see lots of critics\,but for me\,campaign was quite decent\,with great graphics\,also.I enjoyed playing it and it wasn't boring as someone said."
90914,7,"Eyecandy game without a soul. The story is awful. Characters are awful. Voice acting is a jokeGraphics and sound are great\, shooting is decent - nothing more\, nothing less."
91001,9,"A fantastic game\, with superb multiplayer\, falls short for me as the story seemed just a bit ridiculous. Graphics are lovely\, and the gameplay is solid."
91022,6,"Nice environment and graphics\, but just an all around run of the mill FPS. It lacks any real story and missions are very lineal. It's decent but easily forgettable. 6/10 Rental or buy used"
91037,1,"This might be the worst game I've played in my life (definitely since I started my Gaming Renaissance in 2016)\, for so many reasons. Let me get this out of the way first: it looks great. This game is gorgeous\, the graphics are superb. But that doesn't change the game itself. It's a shiny\, well-polished pile of **** There are a lot of cool concepts in the game itself but every single one ofThis might be the worst game I've played in my life (definitely since I started my Gaming Renaissance in 2016)\, for so many reasons. Let me get this out of the way first: it looks great. This game is gorgeous\, the graphics are superb. But that doesn't change the game itself. It's a shiny\, well-polished pile of **** There are a lot of cool concepts in the game itself but every single one of them is executed horrendously. The gameplay is absolute trash; it plays like a Nintendo 64 game that has been slightly remastered (poorly) for the new gen consoles. Every chapter has something different in it\, cool right? No. Every chapter introduces you to a new concept\, a new way to play\, and the game never tells you what to do with your new tech. Every level plays like a tutorial and never allows you to get used to any of the mechanics. There are like maybe three different weapons you can pick up off the ground but no matter what\, you ALWAYS have to carry around an assault rifle that the game chooses for you\, and you can't trade it for something else. I hated the damn gun\, it fires fast and reloads slow so I was stuck having to use other guns to shoot\, and you can only have one other gun besides the ****ty one they give you. Such a step down from the third game which allowed you an assault rifle\, heavy weapon\, and sidearm of your choosing. What's the justification of decreasing the player's options? Some amazing elements in K2 and K3 were removed in this game\, including cover and stealth. The weapons do a lot of damage and the enemies take little before they die. It's not hard at all but every gun reloads extremely slowly which hindered my gameplay so much. I'm all for harder games that challenge your playstyle and force you to take a more methodical approach\, but this is not that game. It's not a hard game\, it's just designed so poorly that you're forced to keep replaying checkpoints until you're able to make up for the **** mechanics. The automatic checkpoints are unapologetically bad\, forcing me to restart checkpoints with enemies directly in front of me without any ammo in my weapon. The objective markers are so lazily implemented and sometimes just don't show up at all\, making this game a maze to navigate. For the first three missions\, I dug it pretty well. The fourth mission wasn't too bad\, and then 5-9 were absolutely abysmal. 10 was a joke. When I started playing 10 (which is a post credit scene out of left field)\, I thought \""wow\, finally. let's see what this game can do with stealth\,\"" but it got old fast. And it didn't make sense at all. Major plot hole. Which brings me to...story! What story?! What characters?! The introduction made me tear up\, it was sweet and beautiful. Everything after that? The opposite. This game has the most bland story\, most inconsistent gameplay\, most amateur mechanics\, and most reasons for people getting an Xbox to buy Halo instead. Oh\, the voice acting. Honestly\, so forgettable. It seems like they got the voice for \""Guy in Baseball Hat\"" from some random movie background to play the lead. And I don't even remember the character's name. The only cool character was Ghost or whatever the girl's name was but she's just sprinkled in the game here and there with no arc. Other supporting characters pop in and out of the story but never mean anything at all. I'd be hard pressed to remember anything about this game in just a few days. There are so many times throughout the game in which you just have to press a button here\, press a button there\, and then do this. It doesn't feel like a game at all. Also\, the button mapping is garbage and even when you remap the buttons\, the on-screen instructions still use the classic controls. How could that be overlooked? Why is Circle the same button for \""interact\"" as it is \""crouch\""? So many times throughout the game I would run over to adrenaline packs and try to pick them up but instead I'd just be humping the wall right in front of the pack itself. It's glitchy\, sloppy\, and disasterously disappointing. Abysmal\, indeed.… Expand"
91090,5,"I remembering being amazed at gameplay trailers for this game back in 2013... after playing it years later\, its really quite disappointing. Killzone 1-3 were much better games."
93397,7,"This is not a bad game\, I only played the online multi-player version.  For what I have seen so far\, I like it.  If you like shooter games you will probably like this one.  I am just into more story line mode and a bit of strategy combined but overall I say go for it.  I doubt I add this to my collection as I am a bit more serious but it is free to play the online multi player version so I do."
93595,9,"Best FPS of next gen.  It reminds you of how fun\, and what a FPS is capable of doing.  Addictive gameplay\, good graphics\, and a wide variety of weapons."
93612,10,"Muy buen juego tanto en graficos como en Gameplay +10\,en lo que es la campaña muy buena me gusto mucho\,dura unas 10 hrs mas o menos\,el multijugador de igual forma me gusto mucho\,ademas con el pack insurgente mas los 3 mapas que pusieron recientemente\,gratis\,tambien ya casi estara el coop\,el pase de temporada sale mucho mas barato que otros juegos\,solo en 20$.Les recomiendo mucho el juego."
93637,4,"This **** game surffer from all the problems a bad game is at its most. Poor level design\,poorly AI\, the history sucks\, just a freaking corridor\,like all linear games. Graphics are amazing\,but are graphics enough to be a good game?  No! Where are all the fun of games nowadays? Gunplay irritating sometimes\,and all in all is a frustrating game! Fuc** you Guerrila and sony"
93654,6,"Просто \""нормально\""\, ничего особенного. Хорошо что Гурилла оставила эту вселенную и пошла дальше\, а то серия под конец уже начала стагнировать."
93665,10,"Its and amazing launch title for the playstation 4\, simply beautiful and smooth and a great game if you are bored of the normal fps out there now a days."
94548,2,"A shooter which offers little in the way of gameplay and story. I could give it a 5 just for beautiful graphics\, but it doesn't even have that. The graphics are mainly built around blinding sunlight everywhere you look - probably to hide the average textures and detail in the game environment. The only good thing I can think of about this game is it's slightly satisfying to kill an enemy\,A shooter which offers little in the way of gameplay and story. I could give it a 5 just for beautiful graphics\, but it doesn't even have that. The graphics are mainly built around blinding sunlight everywhere you look - probably to hide the average textures and detail in the game environment. The only good thing I can think of about this game is it's slightly satisfying to kill an enemy\, but even that isn't great. Terrible game.… Expand"
94560,7,"Killzone Shadow Fall is a good game. It has fun shooting\, diversity with puzzles and environments\, amazing artwork and good level design. The Owl defense drone allows for tactical gameplay as well.The story\, however\, is below average and characters outside of Echo aren't interesting. Echo is a good character\, though. The UI is a mess\, and gunplay\, while solid\, could be a littleKillzone Shadow Fall is a good game. It has fun shooting\, diversity with puzzles and environments\, amazing artwork and good level design. The Owl defense drone allows for tactical gameplay as well.The story\, however\, is below average and characters outside of Echo aren't interesting. Echo is a good character\, though. The UI is a mess\, and gunplay\, while solid\, could be a little tighter.A good game overall definitely worth 10-15 hours of fun.… Expand"
94570,5,"Killzone: Shadow Fall is a disappointing entry into a great PlayStation franchise. The campaign is painful to play and has some moments that make no sense. The gameplay itself is fine\, but the campaign manages to make it boring. There are some good missions\, but they’re outnumbered by a number of bad ones. Can the multiplayer redeem this game? To me\, it cannot. The multiplayer isn’t bad\,Killzone: Shadow Fall is a disappointing entry into a great PlayStation franchise. The campaign is painful to play and has some moments that make no sense. The gameplay itself is fine\, but the campaign manages to make it boring. There are some good missions\, but they’re outnumbered by a number of bad ones. Can the multiplayer redeem this game? To me\, it cannot. The multiplayer isn’t bad\, but it’s inferior to Killzone 2\, Killzone 3\, and Killzone: Mercenaries. The movement just feels off and the progression just isn’t interesting. In Killzone: Mercenaries\, the progression was done perfectly. I did have fun with the multiplayer\, but it didn’t hold me as long as I wished it did. Killzone: Shadow Fall isn't a terrible game\, but you might as well avoid it.… Expand"
94571,10,"Liked the game! Interesting universe and a good story\, a huge variety of beautiful scenery with high-tech graphics and sound. In multiplayer\, the game reveals itself even better. Recommend! Sorry for anything not yet heard about the new part.."
94573,5,"a game with a boring campaign\, characters that no one will remember\, being an IP that has potential\, the way to ruin this IP is the only thing that surprises me\, a total disappointment this game\, nothing recommends and on top of the ps4 suffers a lot when loading this game \, we seem to have a plane taking off in the room"
94574,6,Un juego para salir del paso. Es bastante meh y logré pasarmelo porque le puse ganas.
94575,4,"Killzone Shadow Fall abriu a geração pelo lado da Sony ( uma geração que teria muitos excelentes exclusivos pela frente) com o pé esquerdo.Killzone é uma experiência desagradável\, tanto pela gameplay que parece que não está bem polida\, tanto com os problemas de imersão no jogo\, tanto com o mundo que visualmente agrada mas que no fundo é totalmente vazio\, tanto pela história queKillzone Shadow Fall abriu a geração pelo lado da Sony ( uma geração que teria muitos excelentes exclusivos pela frente) com o pé esquerdo.Killzone é uma experiência desagradável\, tanto pela gameplay que parece que não está bem polida\, tanto com os problemas de imersão no jogo\, tanto com o mundo que visualmente agrada mas que no fundo é totalmente vazio\, tanto pela história que decepciona\, o multiplayer sem muita criatividade de vários outros defeitos.Ao ver jogos com Wolfeinstein The New Order\, vemos quão longe esse game passa de uma boa execução\, sendo uma mancha na excelente galeria de exclusivos do PS4.… Expand"
94607,6,"Me decepciono\, pense que iba a jugar un juego de 8 o incluso mas\, la historia es muuuy mala\, aburrida y larga\, graficos buenos\, y jugabilidad. En general malo."
94608,6,"A good game is not more than that\, just good\, passed and forgotten\, the graphics as the average to me\, too eaten eyes\, all shiny\, constantly looking\, squinting to see the details..."
94577,10,"this game is criminnaly underrated\,best story in the franchise so far\,great level design\,the way the narrative progresses making you think the main protagonist is just a pawn but he dies in the end for hes new ideals after seeing the helghast side of the story \, and the end just leaves so many questions\,the gunplay and mechanics are just awesome\,graphics are just unreal\,the multiplayer isthis game is criminnaly underrated\,best story in the franchise so far\,great level design\,the way the narrative progresses making you think the main protagonist is just a pawn but he dies in the end for hes new ideals after seeing the helghast side of the story \, and the end just leaves so many questions\,the gunplay and mechanics are just awesome\,graphics are just unreal\,the multiplayer is fun and very strategic… Expand"
94578,6,"This game was a get in and get out type of game. Can't customize anything and the game became boring after awhile. Story wasn't that great either\, but it did have some good missions and cut scenes\, also OWL can be a big help at times. To sum it up It was one of those games where you were ready to finish the campaign so you could move onto your next game."
